length,radius,theta,height,surface,spin,result
5.0,1.3,0.69,130.0,0.2,0,1
5.0,1.3,0.69,130.0,0.2,0,1
5.0,1.3,0.69,130.0,0.2,0,0
5.0,1.3,0.69,130.0,0.2,0,0
5.0,1.3,0.69,130.0,0.2,0,0
5.0,1.3,0.69,130.0,0.2,0,1
5.0,1.3,0.69,130.0,0.2,0,0
5.0,1.3,0.69,130.0,0.2,0,1

5.0,1.3,0.69,130.0,0.2,1,0
5.0,1.3,0.69,130.0,0.2,1,0
5.0,1.3,0.69,130.0,0.2,1,1
5.0,1.3,0.69,130.0,0.2,1,1
5.0,1.3,0.69,130.0,0.2,1,0
5.0,1.3,0.69,130.0,0.2,1,0
5.0,1.3,0.69,130.0,0.2,1,1
5.0,1.3,0.69,130.0,0.2,1,0

12.0,1,0.64,120.0,0.5,0,1
12.0,1,0.64,120.0,0.5,0,1
12.0,1,0.64,120.0,0.5,0,0
12.0,1,0.64,120.0,0.5,0,0
12.0,1,0.64,120.0,0.5,0,0
12.0,1,0.64,120.0,0.5,0,0
12.0,1,0.64,120.0,0.5,0,0
12.0,1,0.64,120.0,0.5,0,0
12.0,1,0.64,120.0,0.5,0,1
12.0,1,0.64,120.0,0.5,0,1
12.0,1,0.64,120.0,0.5,0,0
12.0,1,0.64,120.0,0.5,1,1
12.0,1,0.64,120.0,0.5,1,1
12.0,1,0.64,120.0,0.5,1,1
12.0,1,0.64,120.0,0.5,1,0
12.0,1,0.64,120.0,0.5,1,0
12.0,1,0.64,120.0,0.5,1,1
12.0,1,0.64,120.0,0.5,1,0
12.0,1,0.64,120.0,0.5,1,1

12.0,1,0.64,160.0,0.5,0,1
12.0,1,0.64,160.0,0.5,0,1
12.0,1,0.64,160.0,0.5,0,0
12.0,1,0.64,160.0,0.5,0,0
12.0,1,0.64,160.0,0.5,0,1
12.0,1,0.64,160.0,0.5,0,1
12.0,1,0.64,160.0,0.5,0,0
12.0,1,0.64,160.0,0.5,0,0
12.0,1,0.64,160.0,0.5,0,1
12.0,1,0.64,160.0,0.5,0,0
12.0,1,0.64,160.0,0.5,1,0
12.0,1,0.64,160.0,0.5,1,1
12.0,1,0.64,160.0,0.5,1,1
12.0,1,0.64,160.0,0.5,1,0
12.0,1,0.64,160.0,0.5,1,1
12.0,1,0.64,160.0,0.5,1,0
12.0,1,0.64,160.0,0.5,1,1
12.0,1,0.64,160.0,0.5,1,1
12.0,1,0.64,160.0,0.5,1,0
12.0,1,0.64,160.0,0.5,1,0
12.0,1,0.64,160.0,0.5,1,1

12.0,1,0.86,140.0,0.1,0,0
12.0,1,0.86,140.0,0.1,0,0
12.0,1,0.86,140.0,0.1,0,1
12.0,1,0.86,140.0,0.1,0,0
12.0,1,0.86,140.0,0.1,0,1
12.0,1,0.86,140.0,0.1,0,1
12.0,1,0.86,140.0,0.1,0,1
12.0,1,0.86,140.0,0.1,0,0
12.0,1,0.86,140.0,0.1,0,1
